id,url,aspect,date,elevation,lat,lng,observerName,has_photo,has_video,snow_profile,primaryAvalancheProblem,avalancheProblem,region,roles,redFlags
37609,https://utahavalanchecenter.org/observation/37609,Northwest,20180227,10100,0,0,Evelyn,0,0,0,"Wind Drifted Snow",Array,10420,"UAC Staff",Array
37448,https://utahavalanchecenter.org/observation/37448,,20180224,Unknown,0,0,"Hardesty, Wilson, Patterson",1,0,0,,Array,"Mill A","UAC Staff",Array
37432,https://utahavalanchecenter.org/observation/37432,,20180224,Unknown,0,0,"Greg Gagne",1,0,0,"Wind Drifted Snow",Array,Gobblers,"UAC Staff",Array
37396,https://utahavalanchecenter.org/observation/37396,,20180224,Unknown,0,0,evelyn,1,0,0,,Array,"Salt Lake","UAC Staff",Array
37335,https://utahavalanchecenter.org/observation/37335,,20180222,Unknown,0,0,"Greg Gagne",1,1,0,"Persistent Weak Layer",Array,"Porter Fork","UAC Staff",Array
37237,https://utahavalanchecenter.org/observation/37237,,20180220,Unknown,0,0,"Hardesty, Rich, Conover",1,0,0,,Array,"Alexander Basin","UAC Staff",Array
37127,https://utahavalanchecenter.org/observation/37127,Northeast,20180218,9100,40.616252378943,-111.64079188023,"Staples, Sisk",1,1,1,,Array,"Chicken Sh#! Ridge","UAC Staff",Array
37074,https://utahavalanchecenter.org/observation/37074,,20180217,Unknown,0,0,Gagne/Frey/Ormsby/Duvernay,1,0,0,,Array,"Mineral Fork","UAC Staff",Array
37034,https://utahavalanchecenter.org/observation/37034,,20180216,Unknown,0,0,"Hardesty, Wilson",1,0,0,,Array,"Maybird Gulch","UAC Staff",Array
37006,https://utahavalanchecenter.org/observation/37006,,20180216,Unknown,0,0,Brackelsberg,1,0,0,"Wind Drifted Snow",Array,"Wolverine Peak","UAC Staff",Array
36965,https://utahavalanchecenter.org/observation/36965,,20180215,Unknown,0,0,"Greg Gagne / Bob Frey",1,1,0,"Wind Drifted Snow",Array,"Cottonwood Canyons","UAC Staff",Array
36919,https://utahavalanchecenter.org/observation/36919,,20180215,Unknown,0,0,NWS,1,0,0,,Array,"Salt Lake","UAC Staff",Array
36911,https://utahavalanchecenter.org/observation/36911,,20180214,Unknown,0,0,"Hardesty, Wilson",1,1,0,,Array,"Alta Periphery","UAC Staff",Array
36852,https://utahavalanchecenter.org/observation/36852,Southwest,20180213,9500,0,0,evelyn,1,0,1,,Array,"Grizzly Gulch","UAC Staff",Array
36827,https://utahavalanchecenter.org/observation/36827,,20180212,Unknown,0,0,"Staples and Lees",1,0,0,,Array,"Reynolds Pk","UAC Staff",Array
36717,https://utahavalanchecenter.org/observation/36717,,20180210,Unknown,0,0,"Greg Gagne",1,1,0,,Array,"Days Fork","UAC Staff",Array
36690,https://utahavalanchecenter.org/observation/36690,Northeast,20180209,9800,0,0,"Hardesty, Wilson",1,0,1,,Array,"Broads Fork","UAC Staff",Array
36647,https://utahavalanchecenter.org/observation/36647,Northwest,20180208,9300,0,0,"Greg Gagne",1,0,0,,Array,"Cottonwood Canyons","UAC Staff",Array
36602,https://utahavalanchecenter.org/observation/36602,,20180207,Unknown,0,0,Hardesty,0,1,0,,Array,"Days Fork","UAC Staff",Array
36553,https://utahavalanchecenter.org/observation/36553,,20180206,Unknown,0,0,evelyn,1,0,0,,Array,Willows,"UAC Staff",Array
36513,https://utahavalanchecenter.org/observation/36513,North,20180205,7800,40.571430257849,-111.68450115834,Evelyn,1,0,1,,Array,"White Pine","UAC Staff",Array
36504,https://utahavalanchecenter.org/observation/36504,,20180205,Unknown,0,0,"Mark Staples",1,0,0,,Array,Claytons,"UAC Staff",Array
36392,https://utahavalanchecenter.org/observation/36392,,20180202,Unknown,0,0,"Hardesty, Torrey",1,0,0,,Array,"Bonanza Flats","UAC Staff",Array
36339,https://utahavalanchecenter.org/observation/36339,,20180201,Unknown,0,0,"Greg Gagne",1,0,0,"Persistent Weak Layer",Array,"Cottonwood Canyons","UAC Staff",Array
36297,https://utahavalanchecenter.org/observation/36297,,20180131,Unknown,0,0,"Hardesty, Wilson, Pollick",1,0,0,,Array,Gobblers,"UAC Staff",Array
